Long_sample_name,Sample,Antibiotic,Experiment,Day,Group,Mouse
D11_G1M3,D11_G1M3_Spec,spec,ME6,1,Control,4
D11_G2M0,D11_G2M0,none,ME6,1,5 mg strep,1
D11_G2M0,D11_G2M0_Spec,spec,ME6,1,5 mg strep,1
D11_G2M1,D11_G2M1,none,ME6,1,5 mg strep,2
D11_G2M1,D11_G2M1_Spec,spec,ME6,1,5 mg strep,2
D11_G2M2,D11_G2M2,none,ME6,1,5 mg strep,3
D11_G2M2,D11_G2M2_Spec,spec,ME6,1,5 mg strep,3
D11_G2M3,D11_G2M3,none,ME6,1,5 mg strep,4
D11_G2M3,D11_G2M3_Spec,spec,ME6,1,5 mg strep,4
D11_G3M0,D11_G3M0,none,ME6,1,DSS,1
D11_G3M0,D11_G3M0_Spec,spec,ME6,1,DSS,1
D11_G3M1,D11_G3M1,none,ME6,1,DSS,2
D11_G3M1,D11_G3M1_Spec,spec,ME6,1,DSS,2
D11_G3M2,D11_G3M2,none,ME6,1,DSS,3
D11_G3M2,D11_G3M2_Spec,spec,ME6,1,DSS,3
D11_G3M3,D11_G3M3,none,ME6,1,DSS,4
D11_G3M3,D11_G3M3_Spec,spec,ME6,1,DSS,4
D11_G4M0,D11_G4M0,none,ME6,1,DSS Recovery,1
D11_G4M0,D11_G4M0_Spec,spec,ME6,1,DSS Recovery,1
D11_G4M1,D11_G4M1,none,ME6,1,DSS Recovery,2
D11_G4M1,D11_G4M1_Spec,spec,ME6,1,DSS Recovery,2
D11_G4M2,D11_G4M2,none,ME6,1,DSS Recovery,3
D11_G4M2,D11_G4M2_Spec,spec,ME6,1,DSS Recovery,3
D11_G4M3,D11_G4M3,none,ME6,1,DSS Recovery,4
D11_G4M3,D11_G4M3_Spec,spec,ME6,1,DSS Recovery,4
D12_G1M0,D12_G1M0,none,ME6,2,Control,1
D12_G1M0,D12_G1M0_Spec,spec,ME6,2,Control,1
D12_G1M1,D12_G1M1,none,ME6,2,Control,2
D12_G1M1,D12_G1M1_Spec,spec,ME6,2,Control,2
D12_G1M2,D12_G1M2,none,ME6,2,Control,3
D12_G1M2,D12_G1M2_Spec,spec,ME6,2,Control,3
D12_G1M3,D12_G1M3,none,ME6,2,Control,4
D12_G1M3,D12_G1M3_Spec,spec,ME6,2,Control,4
D12_G2M0,D12_G2M0,none,ME6,2,5 mg strep,1
D12_G2M0,D12_G2M0_Spec,spec,ME6,2,5 mg strep,1
D12_G2M1,D12_G2M1,none,ME6,2,5 mg strep,2
D12_G2M1,D12_G2M1_Spec,spec,ME6,2,5 mg strep,2
D12_G2M2,D12_G2M2,none,ME6,2,5 mg strep,3
D12_G2M2,D12_G2M2_Spec,spec,ME6,2,5 mg strep,3
D12_G2M3,D12_G2M3,none,ME6,2,5 mg strep,4
D12_G2M3,D12_G2M3_Spec,spec,ME6,2,5 mg strep,4
D12_G3M0,D12_G3M0,none,ME6,2,DSS,1
D12_G3M0,D12_G3M0_Spec,spec,ME6,2,DSS,1
D12_G3M1,D12_G3M1,none,ME6,2,DSS,2
D12_G3M1,D12_G3M1_Spec,spec,ME6,2,DSS,2
D12_G3M2,D12_G3M2,none,ME6,2,DSS,3
D12_G3M2,D12_G3M2_Spec,spec,ME6,2,DSS,3
D12_G3M3,D12_G3M3,none,ME6,2,DSS,4
D12_G3M3,D12_G3M3_Spec,spec,ME6,2,DSS,4
D12_G4M0,D12_G4M0,none,ME6,2,DSS Recovery,1
D12_G4M0,D12_G4M0_Spec,spec,ME6,2,DSS Recovery,1
D12_G4M1,D12_G4M1,none,ME6,2,DSS Recovery,2
D12_G4M1,D12_G4M1_Spec,spec,ME6,2,DSS Recovery,2
D12_G4M2,D12_G4M2,spec,ME6,2,DSS Recovery,3
D12_G4M2,D12_G4M2_Spec,none,ME6,2,DSS Recovery,3
D12_G4M3,D12_G4M3,none,ME6,2,DSS Recovery,4
D12_G4M3,D12_G4M3_Spec,spec,ME6,2,DSS Recovery,4
Gavage,Gavage,none,ME6,0,gavage,None
Gavage,Gavage_Spec,spec,ME6,0,gavage,None
PC10,PC10,none,ME9,2,Control_PC,1
PC11,PC11,none,ME9,2,Control_PC,2
PC12,PC12,none,ME9,2,Control_PC,3
PC13,PC13,none,ME9,2,Control_PC,4
PC20,PC20,none,ME9,2,DSS_PC,1
PC21,PC21,none,ME9,2,DSS_PC,2
PC22,PC22,none,ME9,2,DSS_PC,3
PC23,PC23,none,ME9,2,DSS_PC,4
PC10,PC10S,spec,ME9,2,Control_PC,1
PC11,PC11S,spec,ME9,2,Control_PC,2
PC12,PC12S,spec,ME9,2,Control_PC,3
PC13,PC13S,spec,ME9,2,Control_PC,4
PC20,PC20S,spec,ME9,2,DSS_PC,1
PC21,PC21S,spec,ME9,2,DSS_PC,2
PC22,PC22S,spec,ME9,2,DSS_PC,3
PC23,PC23S,spec,ME9,2,DSS_PC,4
C10,C10,none,ME9,2,Control_C,1
C11,C11,none,ME9,2,Control_C,2
C12,C12,none,ME9,2,Control_C,3
C13,C13,none,ME9,2,Control_C,4
C20,C20,none,ME9,2,DSS_C,1
C21,C21,none,ME9,2,DSS_C,2
C22,C22,none,ME9,2,DSS_C,3
C23,C23,none,ME9,2,DSS_C,4
C10,C10S,spec,ME9,2,Control_C,1
C11,C11S,spec,ME9,2,Control_C,2
C12,C12S,spec,ME9,2,Control_C,3
C13,C13S,spec,ME9,2,Control_C,4
C20,C20S,spec,ME9,2,DSS_C,1
C21,C21S,spec,ME9,2,DSS_C,2
C22,C22S,spec,ME9,2,DSS_C,3
C23,C23S,spec,ME9,2,DSS_C,4
SI10,SI10,none,ME9,2,Control_SI,1
SI11,SI11,none,ME9,2,Control_SI,2
SI12,SI12,none,ME9,2,Control_SI,3
SI13,SI13,none,ME9,2,Control_SI,4
SI20,SI20,none,ME9,2,DSS_SI,1
SI21,SI21,none,ME9,2,DSS_SI,2
SI22,SI22,none,ME9,2,DSS_SI,3
SI23,SI23,none,ME9,2,DSS_SI,4
SI10,SI10S,spec,ME9,2,Control_SI,1
SI11,SI11S,spec,ME9,2,Control_SI,2
SI12,SI12S,spec,ME9,2,Control_SI,3
SI13,SI13S,spec,ME9,2,Control_SI,4
SI20,SI20S,spec,ME9,2,DSS_SI,1
SI21,SI21S,spec,ME9,2,DSS_SI,2
SI22,SI22S,spec,ME9,2,DSS_SI,3
SI23,SI23S,spec,ME9,2,DSS_SI,4
F10,F10,none,ME9,2,Control_F,1
F11,F11,none,ME9,2,Control_F,2
F12,F12,none,ME9,2,Control_F,3
F13,F13,none,ME9,2,Control_F,4
F20,F20,none,ME9,2,DSS_F,1
F21,F21,none,ME9,2,DSS_F,2
F22,F22,none,ME9,2,DSS_F,3
F23,F23,none,ME9,2,DSS_F,4
F10,F10S,spec,ME9,2,Control_F,1
F11,F11S,spec,ME9,2,Control_F,2
F12,F12S,spec,ME9,2,Control_F,3
F13,F13S,spec,ME9,2,Control_F,4
F20,F20S,spec,ME9,2,DSS_F,1
F21,F21S,spec,ME9,2,DSS_F,2
F22,F22S,spec,ME9,2,DSS_F,3
F23,F23S,spec,ME9,2,DSS_F,4
G,G,none,ME9,0,gavage,None
G,GS,spec,ME9,0,gavage,None
atc,atc,none,LB036,None,None,None
atc,atcspec,spec,LB036,None,None,None
c11,c11,none,MEX01,None,5 mg strep,1
c11,c11spec,spec,MEX01,None,5 mg strep,1
c12,c12,none,MEX01,None,5 mg strep,2
c12,c12spec,spec,MEX01,None,5 mg strep,2
c13,c13,none,MEX01,None,5 mg strep,3
c13,c13spec,spec,MEX01,None,5 mg strep,3
c20,c20,none,MEX01,None,DSS,1
c20,c20spec,spec,MEX01,None,DSS,1
c21,c21,none,MEX01,None,DSS,2
c21,c21spec,spec,MEX01,None,DSS,2
c22,c22,none,MEX01,None,DSS,3
c22,c22spec,spec,MEX01,None,DSS,3
c23,c23,none,MEX01,None,DSS,4
c23,c23spec,spec,MEX01,None,DSS,4
cit,cit,none,LB036,None,None,None
cit,citspec,spec,LB036,None,None,None
colelib2,colelib2,none,LB036,None,None,None
colelib2sia,colelib2sia,none,LB036,None,None,None
colelib2sia,colelib2siaspec,spec,LB036,None,None,None
colelib2,colelib2spec,spec,LB036,None,None,None
DC10,DC10,none,ME9,2,5 mg strep,1
DC10,DC10S,spec,ME9,2,5 mg strep,1
DC11,DC11,none,ME9,2,5 mg strep,2
DC11,DC11S,spec,ME9,2,5 mg strep,2
DC12,DC12,none,ME9,2,5 mg strep,3
DC12,DC12S,spec,ME9,2,5 mg strep,3
DC13,DC13,none,ME9,2,5 mg strep,4
DC13,DC13S,spec,ME9,2,5 mg strep,4
DC20,DC20,none,ME9,2,DSS,1
DC20,DC20S,spec,ME9,2,DSS,1
DC21,DC21,none,ME9,2,DSS,2
DC21,DC21S,spec,ME9,2,DSS,2
DC22,DC22,none,ME9,2,DSS,3
DC22,DC22S,spec,ME9,2,DSS,3
DC23,DC23,none,ME9,2,DSS,4
DC23,DC23S,spec,ME9,2,DSS,4
epi,epi,none,LB036,None,None,None
epi,epispec,spec,LB036,None,None,None
etoh,etoh,none,LB036,None,None,None
etoh,etohspec,spec,LB036,None,None,None
F110,F110,none,ME9,1,5 mg strep,1
F110,F110S,spec,ME9,1,5 mg strep,1
F111,F111,none,ME9,1,5 mg strep,2
F111,F111S,spec,ME9,1,5 mg strep,2
F112,F112,none,ME9,1,5 mg strep,3
F112,F112S,spec,ME9,1,5 mg strep,3
F113,F113,none,ME9,1,5 mg strep,4
F113,F113S,spec,ME9,1,5 mg strep,4
F120,F120,none,ME9,1,DSS,1
F120,F120S,spec,ME9,1,DSS,1
F121,F121,none,ME9,1,DSS,2
F121,F121S,spec,ME9,1,DSS,2
F122,F122,none,ME9,1,DSS,3
F122,F122S,spec,ME9,1,DSS,3
F123,F123,none,ME9,1,DSS,4
F123,F123S,spec,ME9,1,DSS,4
nit,nit,none,LB036,None,None,None
nit,nitspec,spec,LB036,None,None,None
socaer,socaer,none,LB036,None,None,None
socaer,socaerspec,spec,LB036,None,None,None
socan,socan,none,LB036,None,None,None
